Neighbourhood Description (Occurrence),Borough,Area
SUDER GREENS,West,Lewis Farms
SUMMERLEA,West,West Jasper Place
SUMMERSIDE,Southeast,Ellerslie
SUNWAPTA INDUSTRIAL,Northwest,Northwest Industrial
SWEET GRASS,Southwest,Blue Quill
TAMARACK,Southeast,The Meadows
TAWA,Southeast,Mill Wods Centre
TERRA LOSA,West,West Jasper Place
TERRACE HEIGHTS,South,Greater Bonnie Doon
TERWILLEGAR TOWNE,Southwest,Terwillegar Heights
THE HAMPTONS,West,The Grange
THE ORCHARDS AT ELLERSLIE,Southeast,Ellerslie
THE UPLANDS,West,Riverview
THORNCLIFF,West,West Jasper Place
TIPASKAN,Southeast,Lakewood
TRUMPETER AREA,Northwest,Big Lake
TWEDDLE PLACE,Southeast,Millbourne
TWIN BROOKS,Southwest,
UNIVERSITY OF ALBERTA,Central,Central core south
UNIVERSITY OF ALBERTA FARM,,
VIRGINIA PARK,East,Greater Highlands
WALKER,Southeast,
WEBBER GREENS,West,Lewis Farms
WEDGEWOOD HEIGHTS,West,West Jasper Place
WEINLOS,Southeast,Ridgewood
WEIR INDUSTRIAL,Southeast,Southeast Industrial
WELLINGTON,North,
WEST JASPER PLACE,West,Jasper Place
WEST MEADOWLARK PARK,West,Jasper Place
WEST SHEFFIELD INDUSTRIAL,Northwest,Northwest Industrial
WESTBROOK ESTATES,South,
WESTMOUNT,Centralwest,
WESTRIDGE,West,West Jasper Place
WESTVIEW VILLAGE,Northwest,
WESTWOOD,East,The Avenue
WHITE INDUSTRIAL,Northwest,Northwest Industrial
WHITEMUD CREEK RAVINE NORTH,Southwest,Whitemud Creek Ravine and southwest sector
WHITEMUD CREEK RAVINE SOUTH,Southwest,Whitemud Creek Ravine and southwest sector
WILD ROSE,Southeast,The Meadows
WILSON INDUSTRIAL,Northwest,Northwest Industrial
WINDERMERE,Southwest,Windermere
WINDERMERE AREA,Southwest,Windermere
WINDSOR PARK,South,Greater Strathcona
WINTERBURN INDUSTRIAL AREA EAST,Northwest,Northwest Industrial
WINTERBURN INDUSTRIAL AREA WEST,Northwest,Northwest Industrial
WOODCROFT,Northwest,
YELLOWHEAD CORRIDOR EAST,Mature area,Northeast Industrial
YELLOWHEAD CORRIDOR WEST,Mature area,Northeast Industrial
YORK,Northeast,Casselman-Steele Heights
YOUNGSTOWN INDUSTRIAL,Northwest,Northwest Industrial
